name	Ref_value
ALX3	0
AR	4.128510095
ARNT	8.491479247
ARNT2	4.602822223
ASCL1	0.017928475
ATF2	27.51362649
ATF3	10.45376227
ATF4	325.8574977
ATF6	10.00206562
ATF7	0
ATOH1	0
ATOH7	0.063656471
BACH1	0
BACH2	0.913516121
BARHL2	0
BARX1	0.391575839
BARX2	0
BATF3	1.571036519
BCL6	2.486968458
BCL6B	2.662706074
BHLHA15	0.860934884
BHLHE23	0.05987344
BHLHE40	0.28176007
BHLHE41	0.022352879
BSX	0
CDX1	0
CDX2	0
CDX4	1.064003627
CEBPA	1.380462631
CEBPB	4.763603213
CEBPD	0.581384937
CEBPG	14.67882849
CENPB	16.42471639
CLOCK	15.09798601
CREB1	59.58689027
CREB3	20.25851422
CREB3L1	1.028754351
CREB3L4	20.16704576
CREM	38.72365572
CTCF	31.78113364
CUX1	19.75696944
CUX2	1.888462725
DBP	7.525130241
DLX5	0.410883781
DLX6	0.345775959
DMRT3	0
DMRTA2	0
DRGX	0
E2F1	16.36169506
E2F2	1.802508628
E2F3	15.32807953
E2F4	55.39071977
E2F6	8.173440334
E2F7	7.30836311
E2F8	6.419215238
EBF3	0.213232028
EGR1	1.86387784
EGR2	0.183668895
EGR3	0.082407506
EGR4	0.08428808
ELF1	5.498600464
ELF2	34.44312854
ELF3	14.74677337
ELF4	0.813700612
ELF5	0
ELK1	4.796711296
ELK3	3.828666403
ELK4	4.994429791
EMX1	0.631664145
EMX2	0
EN1	0
EOMES	0.036163961
ERF	0
ERG	0.091768472
ESR1	0.02325531
ESR2	1.266105168
ESRRA	13.59925991
ESX1	0.071002176
ETS1	13.05307501
ETS2	4.963258301
ETV1	39.31841956
ETV3	7.580536497
ETV4	18.11381944
ETV5	0
ETV6	2.894593949
EWSR1	65.2201879
FERD3L	0
FEV	0
FIGLA	0
FLI1	0.534636455
FOS	2.320115099
FOSB	0.452476767
FOSL1	0.530289515
FOSL2	1.228565898
FOXA1	0.11515617
FOXA2	0.023053445
FOXA3	10.05162927
FOXB1	0
FOXC1	0.040650949
FOXC2	0
FOXD1	0.049090228
FOXE1	0
FOXF2	0
FOXG1	0.034159642
FOXK1	1.558038369
FOXK2	15.70905225
FOXN3	0
FOXO3	2.177179212
FOXO4	8.374922603
FOXO6	0.11578529
FOXP1	19.80511073
FOXP2	0.102928938
GABPA	8.515429542
GATA2	0.763817476
GATA4	0
GATA5	0.228946879
GATA6	0.028405225
GBX1	0
GBX2	0.401292722
GCM2	0
GFI1	0.532057614
GLI2	8.276418944
GLI3	4.865848763
GLIS3	0.428254036
GMEB2	3.925758646
GRHL1	1.202307008
GRHL2	14.63626721
GSC	0
GSC2	0
GSX1	0
GSX2	0
HAND2	0
HES2	0.471080096
HES5	0
HES6	9.034152017
