name	Deg_index_P	Deg_index_R	num
ALX3	20	1	1
AR	20	1	2
ARNT	20	1	3
ARNT2	20	1	4
ASCL1	20	1	5
ATF2	20	1	6
ATF3	20	1	7
ATF4	20	1	8
ATF6	20	1	9
ATF7	20	1	10
ATOH1	20	1	11
ATOH7	20	1	12
BACH1	20	1	13
BACH2	20	1	14
BARHL2	20	1	15
BARX1	20	1	16
BARX2	20	1	17
BATF3	20	1	18
BCL6	20	1	19
BCL6B	20	1	20
BHLHA15	20	1	21
BHLHE23	20	1	22
BHLHE40	20	1	23
BHLHE41	20	1	24
BSX	20	1	25
CDX1	20	1	26
CDX2	20	1	27
CDX4	20	1	28
CEBPA	20	1	29
CEBPB	20	1	30
CEBPD	20	1	31
CEBPG	20	1	32
CENPB	20	1	33
CLOCK	20	1	34
CREB1	20	1	35
CREB3	20	1	36
CREB3L1	20	1	37
CREB3L4	20	1	38
CREM	20	1	39
CTCF	20	1	40
CUX1	20	1	41
CUX2	20	1	42
DBP	20	1	43
DLX5	20	1	44
DLX6	20	1	45
DMRT3	20	1	46
DMRTA2	20	1	47
DRGX	20	1	48
E2F1	20	1	49
E2F2	20	1	50
E2F3	20	1	51
E2F4	20	1	52
E2F6	20	1	53
E2F7	20	1	54
E2F8	20	1	55
EBF3	20	1	56
EGR1	20	1	57
EGR2	20	1	58
EGR3	20	1	59
EGR4	20	1	60
ELF1	20	1	61
ELF2	20	1	62
ELF3	20	1	63
ELF4	20	1	64
ELF5	20	1	65
ELK1	20	1	66
ELK3	20	1	67
ELK4	20	1	68
EMX1	20	1	69
EMX2	20	1	70
EN1	20	1	71
EOMES	20	1	72
ERF	20	1	73
ERG	20	1	74
ESR1	20	1	75
ESR2	20	1	76
ESRRA	20	1	77
ESX1	20	1	78
ETS1	20	1	79
ETS2	20	1	80
ETV1	20	1	81
ETV3	20	1	82
ETV4	20	1	83
ETV5	20	1	84
ETV6	20	1	85
EWSR1	20	1	86
FERD3L	20	1	87
FEV	20	1	88
FIGLA	20	1	89
FLI1	20	1	90
FOS	20	1	91
FOSB	20	1	92
FOSL1	20	1	93
FOSL2	20	1	94
FOXA1	20	1	95
FOXA2	20	1	96
FOXA3	20	1	97
FOXB1	20	1	98
FOXC1	20	1	99
FOXC2	20	1	100
FOXD1	20	1	101
FOXE1	20	1	102
FOXF2	20	1	103
FOXG1	20	1	104
FOXK1	20	1	105
FOXK2	20	1	106
FOXN3	20	1	107
FOXO3	20	1	108
FOXO4	20	1	109
FOXO6	20	1	110
FOXP1	20	1	111
FOXP2	20	1	112
GABPA	20	1	113
GATA2	20	1	114
GATA4	20	1	115
GATA5	20	1	116
GATA6	20	1	117
GBX1	20	1	118
GBX2	20	1	119
GCM2	20	1	120
GFI1	20	1	121
GLI2	20	1	122
GLI3	20	1	123
GLIS3	20	1	124
GMEB2	20	1	125
GRHL1	20	1	126
GRHL2	20	1	127
GSC	20	1	128
GSC2	20	1	129
GSX1	20	1	130
GSX2	20	1	131
HAND2	20	1	132
HES2	20	1	133
HES5	20	1	134
HES6	20	1	135
HES7	20	1	136
HESX1	20	1	137
HEY1	20	1	138
HEY2	20	1	139
HIC2	20	1	140
HIF1A	20	1	141
HINFP	20	1	142
HLF	20	1	143
HMBOX1	20	1	144
HNF1B	20	1	145
HNF4G	20	1	146
HOXA1	20	1	147
HOXA13	20	1	148
HOXA4	20	1	149
HOXA5	20	1	150
HOXA7	20	1	151
HOXB13	20	1	152
HOXB3	20	1	153
HOXB4	20	1	154
HOXB7	20	1	155
HOXC10	20	1	156
HOXC13	20	1	157
HOXD10	20	1	158
HOXD11	20	1	159
HOXD13	20	1	160
HOXD8	20	1	161
HOXD9	20	1	162
HSF1	20	1	163
