name	Ref_value
ALX3	0.131943665
AR	2.311059318
ARNT	10.01654762
ARNT2	3.088123472
ASCL1	0.018279056
ATF2	31.70348614
ATF3	30.30356915
ATF4	240.7535424
ATF6	11.94019802
ATF7	0
ATOH1	0.085465251
ATOH7	0.220570248
BACH1	0
BACH2	2.091736552
BARHL2	0
BARX1	1.116088756
BARX2	0.327217406
BATF3	1.170940343
BCL6	4.491885296
BCL6B	4.483412032
BHLHA15	0.304770046
BHLHE23	0
BHLHE40	0.901358896
BHLHE41	0.570292476
BSX	0.067022058
CDX1	6.510256544
CDX2	15.46093857
CDX4	7.991824038
CEBPA	5.284725812
CEBPB	4.680438934
CEBPD	0.499010488
CEBPG	12.22573971
CENPB	15.34810102
CLOCK	13.26614372
CREB1	50.4140417
CREB3	22.65098912
CREB3L1	2.744992838
CREB3L4	21.72331818
CREM	42.07430188
CTCF	28.70838051
CUX1	28.34688243
CUX2	0.907706008
DBP	5.463688257
DLX5	7.294989473
DLX6	2.657961652
DMRT3	0.248092162
DMRTA2	0.198533492
DRGX	0
E2F1	11.21793321
E2F2	3.027243434
E2F3	11.98042251
E2F4	37.54262045
E2F6	9.574642339
E2F7	5.98089171
E2F8	3.350000622
EBF3	0.604140607
EGR1	0.347682794
EGR2	0.055194384
EGR3	0.241595645
EGR4	0
ELF1	9.213666655
ELF2	40.41861978
ELF3	14.76625628
ELF4	2.167630253
ELF5	0.82694671
ELK1	5.180058535
ELK3	8.135618781
ELK4	4.155942831
EMX1	0.05540982
EMX2	0.485915063
EN1	0.027948294
EOMES	4.601295929
ERF	0
ERG	3.067217182
ESR1	0.045816643
ESR2	0.977076027
ESRRA	9.151532866
ESX1	0
ETS1	9.113053172
ETS2	2.646333116
ETV1	18.12317342
ETV3	8.682170445
ETV4	4.18530149
ETV5	0
ETV6	3.092783245
EWSR1	32.98816255
FERD3L	0
FEV	0
FIGLA	0
FLI1	2.413866865
FOS	4.511370669
FOSB	0.525682986
FOSL1	0.322677784
FOSL2	13.35307043
FOXA1	0.191554281
FOXA2	0.028645171
FOXA3	7.795403116
FOXB1	0.04980942
FOXC1	7.815254167
FOXC2	0.270234442
FOXD1	0.250252793
FOXE1	0
FOXF2	0.735822029
FOXG1	1.594916994
FOXK1	1.90783224
FOXK2	18.75736225
FOXN3	0
FOXO3	4.683740477
FOXO4	8.044115885
FOXO6	0.123907124
FOXP1	18.22472722
FOXP2	0.307094709
GABPA	8.992160273
GATA2	6.547545176
GATA4	3.021497078
GATA5	1.523129326
GATA6	7.066315817
GBX1	0.127410312
GBX2	1.444226623
GCM2	0
GFI1	0.395325316
GLI2	4.829018824
GLI3	14.0925743
GLIS3	1.30908276
GMEB2	2.996693712
GRHL1	23.38589591
GRHL2	24.60475042
GSC	0.15800496
GSC2	0
GSX1	0
GSX2	0
HAND2	16.89825912
HES2	1.189851081
HES5	0.095214102
HES6	10.90773442
HES7	0.424832335
HESX1	5.34052816
HEY1	24.5249283
HEY2	4.608484099
HIC2	8.980970549
HIF1A	0
HINFP	23.15886258
HLF	0.144826997
HMBOX1	14.69353874
HNF1B	0.011348114
HNF4G	0.72646696
HOXA1	4.185395522
HOXA13	5.48383185
HOXA4	0
HOXA5	1.932917699
HOXA7	0.820322728
HOXB13	0.198510507
HOXB3	0
HOXB4	0
HOXB7	5.33806245
HOXC10	0
HOXC13	0.056399656
