Score_name,factor1,factor2,factor3,num,score_size,factor_num,repressor
ALX3,ALX3,,,1,10,1,0
AR,AR,,,1,15,1,0
ARGFX,ARGFX,,,1,10,1,0
ARNT-HIF1A,ARNT,HIF1A,,1,8,2,0
ARNT2,ARNT2,,,1,10,1,0
ASCL1,ASCL1,,,1,13,1,0
ASCL1-2,ASCL1,,,2,10,1,0
ASCL1-3,ASCL1,,,3,13,1,0
ATF2,ATF2,,,1,13,1,0
ATF3,ATF3,,,1,12,1,0
ATF4,ATF4,,,1,13,1,0
ATF4-2,ATF4,,,2,14,1,0
ATF6,ATF6,,,1,14,1,0
ATF7,ATF7,,,1,14,1,0
ATOH1,ATOH1,,,1,10,1,0
ATOH7,ATOH7,,,1,10,1,0
BACH1,BACH1,,,1,13,1,0
BACH2,BACH2,,,1,14,1,0
BACH2-2,BACH2,,,2,19,1,0
BACH2-3,BACH2,,,3,20,1,0
BARHL1,BARHL1,,,1,8,1,0
BARHL2,BARHL2,,,1,10,1,0
BARX1,BARX1,,,1,8,1,0
BARX2,BARX2,,,1,12,1,0
BATF,BATF,,,1,11,1,0
BATF-JUN,BATF,JUN,,1,11,2,0
BATF-JUN-2,BATF,JUN,,2,11,2,0
BATF3,BATF3,,,1,11,1,0
BCL6,BCL6,,,1,16,1,0
BCL6B,BCL6B,,,1,17,1,0
BHLHA15,BHLHA15,,,1,10,1,0
BHLHE22,BHLHE22,,,1,10,1,0
BHLHE22-2,BHLHE22,,,2,10,1,0
BHLHE23,BHLHE23,,,1,12,1,0
BHLHE40,BHLHE40,,,1,10,1,0
BHLHE41,BHLHE41,,,1,10,1,0
BSX,BSX,,,1,8,1,0
CDX1,CDX1,,,1,9,1,0
CDX1-2,CDX1,,,2,11,1,0
CDX2,CDX2,,,1,11,1,0
CDX2-2,CDX2,,,2,12,1,0
CDX4,CDX4,,,1,11,1,0
CEBPA,CEBPA,,,1,11,1,0
CEBPA-2,CEBPA,,,2,14,1,0
CEBPB,CEBPB,,,1,11,1,0
CEBPB-2,CEBPB,,,2,10,1,0
CEBPD,CEBPD,,,1,10,1,0
CEBPD-2,CEBPD,,,2,13,1,0
CEBPE,CEBPE,,,1,10,1,0
CEBPG,CEBPG,,,1,10,1,0
CEBPG-2,CEBPG,,,2,15,1,0
CENPB,CENPB,,,1,15,1,0
CLOCK,CLOCK,,,1,10,1,0
CREB1,CREB1,,,1,12,1,0
CREB1-2,CREB1,,,2,8,1,0
CREB1-3,CREB1,,,3,12,1,0
CREB1-4,CREB1,,,4,13,1,0
CREB3,CREB3,,,1,14,1,0
CREB3L1,CREB3L1,,,1,14,1,0
CREB3L4,CREB3L4,,,1,12,1,0
CREB3L4-2,CREB3L4,,,2,12,1,0
CREM,CREM,,,1,16,1,0
CTCF,CTCF,,,1,19,1,0
CTCFL,CTCFL,,,1,14,1,0
CTCFL-2,CTCFL,,,2,12,1,0
CUX1,CUX1,,,1,10,1,0
CUX2,CUX2,,,1,10,1,0
DBP,DBP,,,1,12,1,0
DLX5,DLX5,,,1,8,1,0
DLX6,DLX6,,,1,8,1,0
DMRT3,DMRT3,,,1,11,1,0
DMRTA2,DMRTA2,,,1,12,1,0
DMRTC2,DMRTC2,,,1,12,1,0
DPRX,DPRX,,,1,10,1,0
DRGX,DRGX,,,1,8,1,0
DUX4,DUX4,,,1,11,1,0
DUXA,DUXA,,,1,13,1,0
E2F1,E2F1,,,1,8,1,0
E2F1-2,E2F1,,,2,11,1,0
E2F1-3,E2F1,,,3,12,1,0
E2F2,E2F2,,,1,16,1,0
E2F2-2,E2F2,,,2,16,1,0
E2F3,E2F3,,,1,18,1,0
E2F3-2,E2F3,,,2,16,1,0
E2F4,E2F4,,,1,11,1,0
E2F4-2,E2F4,,,2,14,1,0
E2F6,E2F6,,,1,11,1,0
E2F6-2,E2F6,,,2,13,1,0
E2F7,E2F7,,,1,14,1,0
E2F8,E2F8,,,1,12,1,0
EBF1,EBF1,,,1,11,1,0
EBF1-2,EBF1,,,2,14,1,0
EBF1-3,EBF1,,,3,15,1,0
EBF3,EBF3,,,1,13,1,0
EGR1,EGR1,,,1,14,1,0
EGR1-2,EGR1,,,2,14,1,0
EGR1-3,EGR1,,,3,14,1,0
EGR2,EGR2,,,1,11,1,0
EGR3,EGR3,,,1,15,1,0
EGR4,EGR4,,,1,16,1,0
EHF,EHF,,,1,8,1,0
EHF-2,EHF,,,2,12,1,0
EHF-3,EHF,,,3,15,1,0
ELF1,ELF1,,,1,13,1,0
ELF1-2,ELF1,,,2,12,1,0
ELF1-3,ELF1,,,3,14,1,0
ELF2,ELF2,,,1,12,1,0
ELF3,ELF3,,,1,13,1,0
ELF3-2,ELF3,,,2,14,1,0
ELF4,ELF4,,,1,12,1,0
ELF5,ELF5,,,1,11,1,0
ELK1,ELK1,,,1,10,1,0
ELK1-2,ELK1,,,2,10,1,0
ELK3,ELK3,,,1,10,1,0
ELK4,ELK4,,,1,9,1,0
ELK4-2,ELK4,,,2,11,1,0
EMX1,EMX1,,,1,10,1,0
EMX1-2,EMX1,,,2,8,1,0
EMX2,EMX2,,,1,10,1,0
EN1,EN1,,,1,8,1,0
EN2,EN2,,,1,10,1,0
EOMES,EOMES,,,1,13,1,0
ERF,ERF,,,1,10,1,0
ERG,ERG,,,1,10,1,0
ESR1,ESR1,,,1,18,1,0
ESR1-2,ESR1,,,2,20,1,0
ESR1-3,ESR1,,,3,17,1,0
ESR2,ESR2,,,1,18,1,0
ESR2-2,ESR2,,,2,15,1,0
ESRRA,ESRRA,,,1,11,1,0
ESRRA-2,ESRRA,,,2,13,1,0
ESRRB,ESRRB,,,1,11,1,0
ESX1,ESX1,,,1,10,1,0
ETS1,ETS1,,,1,6,1,0
ETS1-2,ETS1,,,2,10,1,0
ETS2,ETS2,,,1,10,1,0
ETV1,ETV1,,,1,10,1,0
ETV1-2,ETV1,,,2,14,1,0
ETV2,ETV2,,,1,11,1,0
ETV3,ETV3,,,1,10,1,0
ETV4,ETV4,,,1,10,1,0
ETV4-2,ETV4,,,2,10,1,0
ETV5,ETV5,,,1,10,1,0
ETV5-2,ETV5,,,2,11,1,0
ETV6,ETV6,,,1,10,1,0
EVX1,EVX1,,,1,10,1,0
EVX2,EVX2,,,1,10,1,0
EWSR1-FLI1,EWSR1,FLI1,,1,18,2,0
FERD3L,FERD3L,,,1,14,1,0
FEV,FEV,,,1,8,1,0
FEV-2,FEV,,,2,10,1,0
FIGLA,FIGLA,,,1,10,1,0
FLI1,FLI1,,,1,11,1,0
FLI1-2,FLI1,,,2,10,1,0
FOS,FOS,,,1,11,1,0
FOS-JUN,FOS,JUN,,1,7,2,0
FOS-JUN-2,FOS,JUN,,2,10,2,0
FOS-JUN-3,FOS,JUN,,3,16,2,0
FOS-JUNB,FOS,JUNB,,1,12,2,0
FOS-JUND,FOS,JUND,,1,13,2,0
FOSB-JUN,FOSB,JUN,,1,11,2,0
FOSB-JUNB,FOSB,JUNB,,1,10,2,0
FOSB-JUNB-2,FOSB,JUNB,,2,10,2,0
FOSL1,FOSL1,,,1,11,1,0
FOSL1-2,FOSL1,,,2,13,1,0
FOSL1-JUN,FOSL1,JUN,,1,13,2,0
FOSL1-JUN-2,FOSL1,JUN,,2,10,2,0
FOSL1-JUNB,FOSL1,JUNB,,1,13,2,0
FOSL1-JUND,FOSL1,JUND,,1,10,2,0
FOSL1-JUND-2,FOSL1,JUND,,2,10,2,0
FOSL2,FOSL2,,,1,11,1,0
FOSL2-JUN,FOSL2,JUN,,1,12,2,0
FOSL2-JUN-2,FOSL2,JUN,,2,11,2,0
FOSL2-JUNB,FOSL2,JUNB,,1,10,2,0
FOSL2-JUNB-2,FOSL2,JUNB,,2,12,2,0
FOSL2-JUND,FOSL2,JUND,,1,10,2,0
FOSL2-JUND-2,FOSL2,JUND,,2,15,2,0
FOXA1,FOXA1,,,1,11,1,0
FOXA1-2,FOXA1,,,2,11,1,0
FOXA1-3,FOXA1,,,3,15,1,0
FOXA1-4,FOXA1,,,4,12,1,0
FOXA2,FOXA2,,,1,11,1,0
FOXA3,FOXA3,,,1,11,1,0
FOXB1,FOXB1,,,1,11,1,0
FOXC1,FOXC1,,,1,8,1,0
FOXC1-2,FOXC1,,,2,11,1,0
