hg19.kgXref.geneSymbol	hg19.knownGene.chrom	hg19.knownGene.chrom.num	hg19.knownGene.strand	hg19.knownGene.dir	hg19.knownGene.txStart	hg19.knownGene.txEnd	hg19.knownGene.cdsStart	hg19.knownGene.cdsEnd	hg19.knownGene.exonCount	hg19.knownGene.exonStarts	hg19.knownGene.exonEnds	hg19.knownGene.proteinID	hg19.knownGene.alignID
ALX3	chr1	1	-	0	110602996	110613322	110603354	110613234	4	"110602996,110604056,110607208,110612957,"	"110603663,110604185,110607525,110613322,"	O95076	uc001dzb.3
AR	chrX	23	+	1	66763873	66915580	66764988	66914564	4	"66763873,66863097,66905851,66914514,"	"66766604,66863249,66905968,66915580,"	E7EVX6	uc011mpf.1
AR	chrX	23	+	1	66763873	66909600	66764988	66909459	4	"66763873,66863097,66905851,66909397,"	"66766604,66863249,66905968,66909600,"	D5M8Q2	uc011mpd.2
AR	chrX	23	+	1	66763873	66915580	66763873	66763873	5	"66763873,66863097,66900561,66905851,66914514,"	"66766604,66863249,66900845,66905968,66915580,"		uc011mpe.1
AR	chrX	23	+	1	66763873	66950461	66764988	66943559	5	"66763873,66863097,66905851,66931243,66943527,"	"66766604,66863249,66905968,66931531,66950461,"	F5GZG9	uc022byk.1
AR	chrX	23	+	1	66763873	66915580	66763873	66763873	3	"66763873,66905782,66914514,"	"66766604,66905968,66915580,"		uc022byj.1
AR	chrX	23	+	1	66763873	66950461	66764988	66943683	8	"66763873,66863097,66905851,66931243,66937319,66941674,66942668,66943527,"	"66766604,66863249,66905968,66931531,66937464,66941805,66942826,66950461,"	NP_000035	uc004dwu.2
AR	chrX	23	+	1	66788682	66950461	66788844	66943683	8	"66788682,66863097,66905851,66931243,66937319,66941674,66942668,66943527,"	"66788864,66863249,66905968,66931531,66937464,66941805,66942826,66950461,"	F1D8N5	uc004dwv.2
ARGFX	chr3	3	+	1	121286777	121309469	121289560	121305447	5	"121286777,121289548,121295630,121303763,121304868,"	"121286860,121289663,121295747,121303912,121309469,"	A6NJG6	uc003eef.3
ARNT	chr1	1	-	0	150782180	150849244	150784496	150849043	22	"150782180,150785647,150786552,150788734,150789263,150789557,150789836,150790395,150795669,150799018,150801568,150802379,150804293,150804809,150807013,150808755,150811916,150814899,150818738,150825237,150830824,150849018,"	"150784586,150785814,150786715,150788876,150789366,150789678,150789909,150790506,150795821,150799093,150801703,150802456,150804379,150804875,150807116,150808969,150812130,150814944,150818783,150825282,150830936,150849244,"	F8WAP6	uc009wmc.2
